Phylum,Type strain,Species,Temperature,Temperature def,Temperature type,psychrophilic,mesophilic,thermophilic,Spore formation,Oxygen tolerance,aerobe,anaerobe,obligate aerobe,obligate anaerobe,facultative aerobe,facultative anaerobe,microaerophile,aerotolerant,Radiation Tolerance,score,tier,culture pH,Halophily
Actinobacteria,1,Acaricomes phytoseiuli,25,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
Actinobacteria,1,Actinoallomurus acaciae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoallomurus acanthiterrae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoallomurus oryzae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoalloteichus spitiensis,30,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
Actinobacteria,1,Actinobaculum massiliense,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinobaculum suis,20 - 43,,,1,1,1,0,anaerobe,0,1,0,0,0,0,0,0,0,3,1,,
Actinobacteria,1,Actinocatenispora rupis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinocatenispora thailandica,28,optimum,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinocorallia cavernae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinocorallia lasiicapitis,4.0-37.0,growth,,1,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinocrinis puniceicyclus,13-30,growth,,1,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinocrispum wychmicini,20.0-34.0,growth,,1,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinokineospora acnipugnans,20-45,growth,,1,1,1,1,aerobe,1,0,0,0,0,0,0,0,0,3,1,,
Actinobacteria,1,Actinokineospora alba,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinokineospora bangkokensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinokineospora soli,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura alba,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura bangladeshensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura barringtoniae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura chokoriensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura flavalba,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura geliboluensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura keratinilytica,45,growth,thermophilic,0,0,1,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinomadura miaoliensis,25-55,growth,,0,1,1,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinomadura rhizosphaerae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomadura rudentiformis,28,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
Actinobacteria,1,Actinomadura scrupuli,28,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
Actinobacteria,1,Actinomadura xylanilytica,28,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
Actinobacteria,1,Actinomyces dentalis,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomyces gaoshouyii,30,optimum,mesophilic,0,1,0,0,facultative anaerobe,0,0,0,0,0,1,0,0,0,1,1,,
Actinobacteria,1,Actinomyces gerencseriae,37,growth,mesophilic,0,1,0,0,microaerophile,0,0,0,0,0,0,1,0,0,0,1,,
Actinobacteria,1,Actinomyces graevenitzii,37,growth,mesophilic,0,1,0,0,facultative anaerobe,0,0,0,0,0,1,0,0,0,1,1,,
Actinobacteria,1,Actinomyces liubingyangii,37,optimum,mesophilic,0,1,0,0,facultative anaerobe,0,0,0,0,0,1,0,0,0,1,1,,
Actinobacteria,1,Actinomyces massiliensis,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomyces oricola,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomyces tangfeifanii,37,growth,mesophilic,0,1,0,0,facultative anaerobe,0,0,0,0,0,1,0,0,0,1,1,,
Actinobacteria,1,Actinomyces timonensis,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomyces vulturis,4.0-55.0,growth,,1,1,1,0,facultative anaerobe,0,0,0,0,0,1,0,0,0,3,1,,
Actinobacteria,1,Actinomyces weissii,37,growth,mesophilic,0,1,0,0,anaerobe,0,1,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinomycetospora chiangmaiensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinophytocola burenkhanensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinophytocola glycyrrhizae,28,optimum,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinophytocola oryzae,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinophytocola xanthii,15-37,growth,,1,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinoplanes atraurantiacus,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes couchii,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes ramoplaninifer,22-42,growth,,0,1,1,1,aerobe,1,0,0,0,0,0,0,0,0,2,1,,
Actinobacteria,1,Actinoplanes sediminis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes siamensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes sichuanensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes subglobosus,37,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes tereljensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes toevensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinoplanes xinjiangensis,28,growth,mesophilic,0,1,0,1,aerobe,1,0,0,0,0,0,0,0,0,1,1,,
Actinobacteria,1,Actinopolymorpha rutila,28,growth,mesophilic,0,1,0,0,aerobe,1,0,0,0,0,0,0,0,0,0,1,,
