SAMPA,IPA,X-SAMPA,Quality,Syllabic,Consonantal,Sonorant,Continuant,Delayed Release,Approximant,Tap,Trill,Nasal,Voice,Spread Glottis,Constricted Glottis,Labial,Round,Labiodental,Coronal,Anterior,Distributed,Strident,Lateral,Dorsal,High,Low,Front,Back,Tense
vw,ʋ,v_d,approximant,0,0,1,1,,1,0,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
?,ʔ,?,plosive,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,0,,,,,
??,ʡ,?`,plosive,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
h,h,h,fricative,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,,,,,
H,ʜ,H,fricative,0,,,,,,,,,,,,,,,,,,,,,,,,,
hv,ɦ,h\,fricative,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,,,,0,0,,,,,
v,v,v,fricative,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
?\,ʢ,H_v,fricative,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,,,,0,0,,,,,
?h,ʔ͡h,?h,affricate,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,0,0,,,,,
??+,ʡ͡ʢ,??\,affricate,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,0,0,,,,,
H\,ɥ,H\,approximant,0,0,1,1,,1,0,0,0,1,0,0,1,1,0,0,,,,0,1,1,0,1,0,1
uc,ɰ,M\,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
q,q,q,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
k,k,k,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
k!,ǂ,k!,click,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
G,ɢ,G\,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
Gi,ʛ,G\_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
g,ɡ,g,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
gi,ɠ,g_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
X,χ,X,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
h+,ħ,H\,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,1,0,1,
x,x,x,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
R+,ʁ,R,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
?+,ʕ,?\,fricative,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,1,0,1,
V,ɣ,G,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,, ,0,1,1,0,,,
qX,q͡χ,qX,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
kL,k͡ʟ̝̥,kL\,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
kx,k͡x,kx,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
GR+,ɢ͡ʁ,G\R,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
gV,g͡ɣ,gG,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
L,ʟ,L\,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,1,1,1,0,,,
RR,ʀ,RR,trill,0,1,1,1,,1,0,1,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
r,ɹ,r\,tap,0,0,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,,,,
t+,ʈ,t`,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
d+,ɖ,d`,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
sh,ʂ,s`,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,
S,ʃ,S,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
zh,ʐ,z`,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,,
Z,ʒ,Z,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,,,,,
tS,t͡ʃ,tS,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
